borrower_id,split
B0083,train
B0598,train
B1787,train
B1976,train
B1937,train
B1418,train
B0538,train
B0274,train
B0172,train
B1923,train
B1348,train
B0544,train
B1839,train
B0265,train
B0780,train
B1026,train
B0650,train
B1474,train
B1963,train
B1964,train
B1689,train
B1282,train
B0771,train
B1691,train
B0606,train
B1939,train
B1692,train
B0397,train
B0811,train
B0293,train
B1321,train
B0569,train
B0808,train
B0817,train
B1231,train
B1697,train
B0685,train
B1035,train
B0107,train
B0169,train
B1783,train
B0789,train
B1174,train
B0198,train
B0536,train
B1019,train
B0526,train
B0818,train
B1525,train
B1728,train
B0983,train
B0307,train
B0474,train
B1648,train
B1215,train
B0134,train
B1261,train
B0354,train
B0877,train
B1682,train
B1715,train
B1053,train
B0716,train
B0990,train
B0121,train
B0946,train
B0031,train
B1969,train
B1803,train
B1189,train
B0374,train
B0377,train
B0091,train
B0962,train
B1938,train
B0940,train
B1003,train
B0880,train
B0478,train
B1175,train
B1030,train
B0999,train
B1793,train
B1599,train
B1455,train
B1382,train
B1259,train
B0976,train
B1458,train
B0981,train
B1711,train
B0003,train
B1850,train
B1831,train
B0741,train
B1045,train
B0099,train
B1872,train
B1470,train
B1445,train
B0211,train
B1792,train
B1720,train
B0426,train
B1263,train
B1823,train
B1910,train
B0445,train
B0033,train
B0698,train
B0768,train
B1333,train
B1533,train
B1140,train
B1277,train
B1370,train
B0710,train
B0831,train
B1777,train
B0796,train
B0026,train
B1292,train
B0832,train
B1016,train
B1075,train
B1925,train
B0010,train
B1943,train
B0682,train
B1192,train
B0337,train
B0863,train
B0575,train
B0420,train
B0446,train
B1618,train
B1143,train
B0592,train
B1772,train
B1700,train
B0036,train
B1570,train
B1898,train
B0810,train
B0772,train
B0784,train
B0225,train
B0160,train
B1284,train
B1990,train
B0085,train
B0909,train
B1120,train
B0396,train
B1311,train
B1903,train
B1432,train
B0340,train
B0055,train
B1405,train
B0194,train
B0263,train
B1765,train
B0262,train
B0398,train
B0386,train
B1071,train
B0603,train
B1960,train
B1460,train
B0268,train
B0679,train
B0554,train
B1423,train
B0214,train
B1514,train
B0546,train
B1909,train
B1362,train
B1894,train
B0612,train
B1496,train
B0858,train
B0061,train
B1816,train
B0889,train
B1650,train
B1352,train
B0859,train
B1241,train
B0395,train
B1738,train
B1490,train
B1797,train
B0436,train
B0847,train
B1142,train
B1459,train
B1788,train
B1119,train
B0663,train
B1620,train
B0217,train
B1876,train
B0303,train
B0736,train
B0969,train
B0237,train
B0118,train
B0785,train
B0156,train
B0922,train
B0938,train
B0204,train
B0403,train
B1464,train
B0997,train
B1681,train
B0206,train
B0895,train
B1105,train
B0605,train
B1082,train
B0162,train
B0136,train
B1716,train
B1098,train
B0202,train
B0868,train
B1325,train
B0791,train
B0711,train
B0133,train
B1606,train
B0529,train
B0087,train
B0295,train
B0917,train
B1950,train
B1585,train
B1584,train
B1776,train
B0023,train
B0972,train
B1443,train
B1130,train
B0517,train
B1090,train
B0356,train
B0111,train
B1078,train
B0486,train
B1306,train
B0713,train
B1877,train
B0328,train
B1825,train
B1563,train
B1592,train
B0968,train
B0028,train
B1249,train
B1741,train
B1967,train
B0281,train
B0952,train
B0841,train
B1084,train
B0825,train
B0066,train
B1791,train
B1364,train
B1828,train
B1183,train
B0875,train
B1914,train
B1636,train
B0101,train
B0597,train
B1378,train
B1114,train
B1695,train
B0368,train
B1208,train
B0256,train
B0040,train
B0119,train
B0012,train
B1742,train
B0289,train
B0306,train
B0485,train
B1853,train
B0276,train
B0011,train
B0463,train
B1781,train
B0595,train
B1972,train
B1403,train
B1368,train
B0024,train
B1360,train
B0242,train
B1392,train
B1044,train
B0614,train
B1010,train
B0014,train
B1184,train
B1933,train
B0255,train
B0218,train
B0370,train
B1690,train
B1062,train
B0147,train
B0185,train
B1031,train
B0357,train
B1851,train
B0078,train
B1646,train
B0618,train
B0378,train
B0226,train
B1004,train
B1426,train
B1454,train
B1430,train
B0365,train
B0114,train
B1228,train
B0567,train
B0647,train
B0822,train
B0222,train
B0044,train
B0657,train
B1785,train
B1813,train
B1952,train
B1506,train
B0608,train
B0753,train
B0932,train
B0068,train
B0856,train
B1548,train
B1202,train
B1014,train
B1565,train
B1885,train
B1389,train
B0537,train
B0283,train
B1930,train
B0774,train
B1384,train
B0786,train
B0103,train
B0942,train
B1302,train
B0901,train
B0092,train
B0096,train
B0422,train
B0027,train
B0053,train
B1171,train
B0782,train
B0899,train
B1115,train
B0765,train
B0586,train
B0127,train
B1097,train
B1870,train
B1940,train
B1223,train
B0343,train
B1668,train
B0874,train
B1968,train
B1739,train
B1993,train
B0958,train
B1244,train
B0807,train
B0035,train
B0243,train
B0192,train
B1747,train
B1880,train
B1141,train
B0914,train
B0585,train
B0090,train
B1848,train
B1145,train
B0773,train
B0505,train
B0260,train
B1986,train
B0330,train
B1200,train
B0626,train
B1274,train
B1730,train
B1806,train
B0987,train
B0387,train
B0571,train
B0399,train
B1555,train
B0409,train
B0120,train
B1036,train
B1066,train
B1634,train
B1622,train
B1896,train
B0383,train
B0625,train
B1567,train
B0652,train
B1466,train
B1373,train
B1846,train
B0850,train
B1945,train
B1077,train
B0907,train
B1331,train
B1491,train
B0271,train
B0331,train
B0322,train
B1713,train
B1790,train
B1052,train
B1152,train
B1613,train
B0462,train
B1647,train
B1670,train
B0086,train
B0273,train
B1369,train
B1799,train
B1153,train
B1855,train
B0369,train
B0070,train
B1842,train
B0381,train
B1865,train
B0624,train
B0511,train
B0700,train
B0224,train
B0176,train
B0353,train
B1493,train
B1059,train
B1734,train
B1318,train
B0009,train
B0423,train
B1043,train
B0470,train
B0776,train
B1586,train
B1176,train
B1450,train
B0261,train
B0797,train
B1578,train
B1820,train
B1322,train
B1541,train
B0292,train
B1757,train
B1749,train
B0897,train
B1729,train
B0548,train
B0196,train
B0989,train
B0869,train
B0805,train
B0385,train
B0694,train
B1012,train
B1538,train
B0253,train
B1338,train
B1892,train
B1486,train
B1416,train
B0123,train
B1778,train
B1807,train
B1660,train
B0833,train
B1852,train
B0702,train
B0200,train
B1419,train
B1063,train
B1040,train
B0472,train
B0992,train
B0007,train
B0241,train
B1935,train
B1671,train
B1503,train
B1268,train
B0425,train
B1915,train
B1615,train
B1323,train
B0596,train
B1006,train
B0021,train
B0956,train
B0155,train
B1398,train
B0319,train
B0418,train
B1714,train
B1444,train
B0350,train
B0991,train
B1712,train
B0627,train
B1308,train
B1080,train
B0871,train
B0757,train
B0183,train
B1222,train
B1001,train
B0552,train
B1467,train
B0630,train
B0929,train
B0676,train
B1265,train
B0239,train
B1129,train
B0651,train
B1276,train
B0804,train
B1593,train
B0827,train
B1686,train
B0728,train
B1386,train
B0678,train
B0047,train
B0563,train
B0729,train
B1722,train
B1946,train
B0508,train
B0954,train
B1887,train
B0521,train
B0346,train
B1767,train
B1116,train
B1640,train
B1568,train
B1581,train
B0921,train
B1269,train
B1332,train
B1260,train
B1216,train
B0230,train
B0602,train
B1254,train
B1337,train
B1057,train
B0459,train
B0944,train
B0762,train
B1317,train
B1955,train
B1769,train
B0178,train
B0375,train
B1498,train
B1605,train
B1424,train
B1979,train
B1984,train
B0690,train
B0677,train
B0843,train
B1941,train
B1180,train
B0187,train
B0309,train
B0680,train
B0001,train
B0712,train
B1345,train
B0581,train
B1922,train
B0282,train
B0936,train
B0299,train
B0203,train
B1727,train
B1379,train
B1934,train
B0029,train
B1808,train
B1334,train
B0020,train
B0724,train
B1339,train
B0393,train
B1029,train
B0945,train
B1653,train
B1683,train
B0590,train
B0150,train
B1168,train
B1733,train
B1088,train
B1328,train
B0006,train
B0890,train
B1582,train
B1947,train
B1866,train
B0278,train
B0947,train
B0414,train
B0501,train
B0067,train
B0489,train
B1826,train
B1754,train
B1106,train
B1380,train
B0417,train
B1655,train
B1495,train
B0097,train
B0640,train
B1472,train
B1543,train
B0802,train
B0619,train
B0884,train
B0193,train
B1074,train
B1520,train
B1907,train
B0360,train
B0911,train
B0344,train
B1931,train
B0913,train
B1224,train
B0918,train
B1779,train
B1273,train
B0653,train
B1125,train
B1406,train
B1891,train
B1032,train
B0775,train
B1902,train
B1198,train
B0629,train
B0481,train
B1641,train
B0503,train
B0516,train
B1531,train
B0960,train
B0154,train
B0201,train
B0104,train
B0754,train
B0770,train
B0140,train
B1859,train
B0583,train
B1033,train
B0332,train
B1232,train
B0671,train
B0937,train
B1895,train
B1433,train
B1540,train
B0321,train
B0864,train
B1632,train
B1239,train
B0057,train
B0022,train
B0060,train
B1188,train
B1912,train
B0988,train
B1446,train
B1780,train
B1041,train
B0359,train
B0424,train
B0542,train
B1270,train
B1518,train
B0705,train
B1131,train
B0920,train
B0015,train
B0115,train
B1218,train
B0812,train
B0116,train
B1064,train
B1603,train
B0389,train
B0963,train
B1298,train
B1800,train
