source,target,weight,edge_types
B0000,B1101,1.0,group
B0000,B1108,1.0,group
B0000,B1226,1.0,group
B0000,B1375,1.0,group
B0000,B0073,0.7,"partner,region"
B0000,B0214,0.7,"partner,region"
B0000,B0902,0.7,"partner,region"
B0000,B1371,0.7,"partner,region"
B0000,B0346,0.2,region
B0000,B0506,0.2,region
B0000,B1765,0.2,region
B0000,B1870,0.2,region
B0001,B0112,1.0,group
B0001,B0219,1.0,group
B0001,B0641,1.0,group
B0001,B0698,1.0,group
B0001,B0003,0.7,"partner,region"
B0001,B0516,0.5,partner
B0001,B0524,0.5,partner
B0001,B0652,0.5,partner
B0001,B0699,0.5,partner
B0001,B0833,0.7,"partner,region"
B0001,B1064,0.7,"partner,region"
B0001,B1854,0.5,partner
B0001,B1150,0.2,region
B0002,B0339,1.0,group
B0002,B1221,1.0,group
B0002,B1357,1.0,group
B0002,B1622,1.0,group
B0002,B1869,1.0,group
B0002,B0336,0.7,"partner,region"
B0002,B1992,0.5,partner
B0002,B1713,0.2,region
B0003,B0005,1.0,group
B0003,B0321,1.0,group
B0003,B0467,1.0,group
B0003,B1222,1.0,group
B0003,B1286,1.0,group
B0003,B0516,0.5,partner
B0003,B0524,0.5,partner
B0003,B0652,0.5,partner
B0003,B0699,0.5,partner
B0003,B0833,0.7,"partner,region"
B0003,B1064,0.7,"partner,region"
B0003,B1854,0.5,partner
B0003,B1150,0.2,region
B0004,B0773,1.0,group
B0004,B0876,1.0,group
B0004,B0991,1.0,group
B0004,B1003,1.0,group
B0004,B1219,1.0,group
B0004,B1999,1.0,group
B0004,B0588,0.5,partner
B0004,B0836,0.5,partner
B0004,B1053,0.7,"partner,region"
B0004,B1268,0.5,partner
B0004,B1394,0.5,partner
B0004,B1555,0.5,partner
B0004,B1639,0.5,partner
B0004,B1771,0.7,"partner,region"
B0004,B0264,0.2,region
B0005,B0321,1.0,group
B0005,B0467,1.0,group
B0005,B1222,1.0,group
B0005,B1286,1.0,group
B0005,B0484,0.5,partner
B0005,B0607,0.7,"partner,region"
B0005,B1442,0.5,partner
B0005,B1940,0.5,partner
B0005,B0115,0.2,region
B0005,B0545,0.2,region
B0005,B0783,0.2,region
B0005,B0913,0.2,region
B0005,B1099,0.2,region
B0005,B1120,0.2,region
B0005,B1352,0.2,region
B0005,B1966,0.2,region
B0006,B0329,1.0,group
B0006,B0745,1.0,group
B0006,B0914,1.0,group
B0006,B1553,1.0,group
B0006,B1677,1.0,group
B0006,B0094,0.5,partner
B0006,B0360,0.7,"partner,region"
B0006,B0555,0.5,partner
B0006,B1563,0.7,"partner,region"
B0007,B0302,1.0,group
B0007,B0624,1.0,group
B0007,B0638,1.0,group
B0007,B0718,1.2,"group,region"
B0007,B0013,0.7,"partner,region"
B0007,B0016,0.5,partner
B0007,B0025,0.5,partner
B0007,B0028,0.7,"partner,region"
B0007,B0030,0.5,partner
B0007,B0035,0.5,partner
B0007,B0051,0.7,"partner,region"
B0007,B0060,0.5,partner
B0007,B0062,0.5,partner
B0007,B0070,0.5,partner
B0007,B0074,0.5,partner
B0007,B0077,0.5,partner
B0007,B0081,0.5,partner
B0007,B0100,0.5,partner
B0007,B0108,0.7,"partner,region"
B0007,B0117,0.5,partner
B0007,B0126,0.5,partner
B0007,B0131,0.7,"partner,region"
B0007,B0136,0.7,"partner,region"
B0007,B0139,0.5,partner
B0007,B0145,0.7,"partner,region"
B0007,B0157,0.7,"partner,region"
B0007,B0158,0.7,"partner,region"
B0007,B0175,0.5,partner
B0007,B0178,0.7,"partner,region"
B0007,B0186,0.5,partner
B0007,B0194,0.5,partner
B0007,B0195,0.7,"partner,region"
B0007,B0202,0.5,partner
B0007,B0204,0.5,partner
B0007,B0206,0.7,"partner,region"
B0007,B0213,0.5,partner
B0007,B0218,0.5,partner
B0007,B0220,0.5,partner
B0007,B0221,0.5,partner
B0007,B0229,0.5,partner
B0007,B0243,0.7,"partner,region"
B0007,B0250,0.5,partner
B0007,B0252,0.7,"partner,region"
B0007,B0265,0.5,partner
B0007,B0267,0.5,partner
B0007,B0275,0.7,"partner,region"
B0007,B0284,0.5,partner
B0007,B0286,0.7,"partner,region"
B0007,B0290,0.5,partner
B0007,B0294,0.5,partner
B0007,B0295,0.7,"partner,region"
B0007,B0303,0.5,partner
B0007,B0304,0.5,partner
B0007,B0308,0.5,partner
B0007,B0309,0.5,partner
B0007,B0312,0.7,"partner,region"
B0007,B0317,0.5,partner
B0007,B0318,0.5,partner
B0007,B0321,0.5,partner
B0007,B0322,0.5,partner
B0007,B0331,0.7,"partner,region"
B0007,B0332,0.5,partner
B0007,B0368,0.5,partner
B0007,B0375,0.5,partner
B0007,B0380,0.5,partner
B0007,B0383,0.7,"partner,region"
B0007,B0384,0.5,partner
B0007,B0388,0.5,partner
B0007,B0392,0.5,partner
B0007,B0393,0.5,partner
B0007,B0395,0.5,partner
B0007,B0398,0.5,partner
B0007,B0399,0.5,partner
B0007,B0402,0.5,partner
B0007,B0410,0.5,partner
B0007,B0413,0.7,"partner,region"
B0007,B0423,0.5,partner
B0007,B0429,0.5,partner
B0007,B0434,0.5,partner
B0007,B0436,0.5,partner
B0007,B0437,0.7,"partner,region"
B0007,B0438,0.5,partner
B0007,B0439,0.5,partner
B0007,B0441,0.5,partner
B0007,B0442,0.5,partner
B0007,B0444,0.5,partner
B0007,B0445,0.5,partner
B0007,B0452,0.5,partner
B0007,B0458,0.5,partner
B0007,B0479,0.5,partner
B0007,B0483,0.7,"partner,region"
B0007,B0486,0.7,"partner,region"
B0007,B0489,0.7,"partner,region"
B0007,B0490,0.7,"partner,region"
B0007,B0496,0.5,partner
B0007,B0501,0.7,"partner,region"
B0007,B0507,0.5,partner
B0007,B0531,0.5,partner
B0007,B0550,0.5,partner
B0007,B0565,0.7,"partner,region"
B0007,B0570,0.5,partner
B0007,B0572,0.5,partner
B0007,B0573,0.7,"partner,region"
B0007,B0577,0.5,partner
B0007,B0580,0.5,partner
B0007,B0589,0.5,partner
B0007,B0600,0.5,partner
B0007,B0604,0.5,partner
