source,target
B0000,B1101
B0000,B1108
B0000,B1226
B0000,B1375
B0001,B0112
B0001,B0219
B0001,B0641
B0001,B0698
B0002,B0339
B0002,B1221
B0002,B1357
B0002,B1622
B0002,B1869
B0003,B0005
B0003,B0321
B0003,B0467
B0003,B1222
B0003,B1286
B0004,B0773
B0004,B0876
B0004,B0991
B0004,B1003
B0004,B1219
B0004,B1999
B0005,B0321
B0005,B0467
B0005,B1222
B0005,B1286
B0006,B0329
B0006,B0745
B0006,B0914
B0006,B1553
B0006,B1677
B0007,B0302
B0007,B0624
B0007,B0638
B0007,B0718
B0008,B0207
B0008,B1014
B0008,B1122
B0008,B1890
B0008,B1894
B0008,B1942
B0009,B0449
B0009,B1270
B0009,B1494
B0009,B1601
B0010,B0711
B0010,B0859
B0010,B0892
B0010,B1793
B0010,B1815
B0011,B0284
B0011,B0396
B0011,B0498
B0011,B1276
B0011,B1325
B0012,B0167
B0012,B0171
B0012,B0649
B0012,B1926
B0013,B0241
B0013,B0315
B0013,B0387
B0013,B0600
B0013,B0776
B0014,B0064
B0014,B1180
B0014,B1836
B0014,B1862
B0015,B0334
B0015,B0845
B0015,B1052
B0015,B1251
B0015,B1923
B0016,B0546
B0016,B1072
B0016,B1535
B0016,B1539
B0016,B1971
B0017,B0127
B0017,B0927
B0017,B1279
B0017,B1346
B0017,B1908
B0017,B1968
B0018,B0174
B0018,B0589
B0018,B0781
B0018,B0999
B0018,B1559
B0019,B0320
B0019,B0399
B0019,B0511
B0019,B0653
B0019,B0971
B0020,B0166
B0020,B0646
B0020,B0840
B0020,B1297
B0020,B1508
B0020,B1842
B0021,B0252
B0021,B0276
B0021,B0459
B0021,B0747
B0021,B1184
B0021,B1337
B0022,B0340
B0022,B0356
B0022,B0431
B0022,B1277
B0022,B1312
B0022,B1682
B0023,B0063
B0023,B0237
B0023,B1063
B0023,B1335
B0023,B1472
B0023,B1766
B0024,B0066
B0024,B0144
B0024,B0536
B0024,B0811
B0024,B1315
B0024,B1466
B0025,B0299
B0025,B0325
B0025,B1262
B0025,B1765
B0025,B1945
B0026,B0037
B0026,B0229
B0026,B0437
B0026,B1388
B0026,B1770
B0026,B1948
B0027,B0055
B0027,B0077
B0027,B0525
B0027,B1436
B0027,B1834
B0028,B0338
B0028,B0499
B0028,B1188
B0028,B1217
B0028,B1399
B0028,B1820
B0029,B0572
B0029,B0628
B0029,B0792
B0029,B0907
B0029,B0944
B0029,B0964
B0030,B0937
B0030,B1173
B0030,B1319
B0030,B1919
B0031,B0669
B0031,B0722
B0031,B0940
B0031,B0994
B0032,B0078
B0032,B1265
B0032,B1897
B0032,B1911
B0033,B0094
B0033,B0249
B0033,B0673
B0033,B1452
B0033,B1463
B0033,B1994
B0034,B0508
B0034,B0775
B0034,B1451
B0034,B1478
B0034,B1970
B0035,B0684
B0035,B0827
B0035,B0902
B0035,B1778
B0036,B0662
B0036,B1444
B0036,B1953
B0036,B1975
B0037,B0229
B0037,B0437
B0037,B1388
B0037,B1770
B0037,B1948
B0038,B0172
B0038,B0652
B0038,B1149
B0038,B1581
B0039,B0222
B0039,B0228
B0039,B0542
B0039,B0547
B0039,B1374
B0040,B0230
B0040,B0288
B0040,B0378
B0040,B1017
B0040,B1513
B0040,B1796
B0041,B0088
B0041,B0131
B0041,B1801
B0041,B1933
B0042,B0110
B0042,B0359
B0042,B0847
B0042,B1128
B0042,B1169
B0042,B1521
B0043,B0101
B0043,B0274
B0043,B1096
B0043,B1231
B0043,B1721
B0043,B1832
B0044,B0168
B0044,B0303
B0044,B0555
B0044,B0990
B0044,B1686
B0044,B1924
B0045,B0316
B0045,B0591
B0045,B1612
B0045,B1719
B0046,B0822
B0046,B0866
B0046,B0935
B0046,B1373
B0046,B1708
B0047,B0336
B0047,B0803
B0047,B1049
B0047,B1763
B0048,B0083
B0048,B0147
B0048,B0360
B0048,B1309
B0049,B0231
