borrower_id,t,group_id,region_id,individual_risk_score,neighbor_stress_fraction,regional_shock_index,predicted_reason,confidence,multi_hop_exposure_score,is_stressed
B0000,0,G0199,Mexico_R0,0.037004445,0.0,0,Healthy,,,0
B0001,0,G0291,Guatemala_R1,0.045128275,0.0,0,Healthy,,,0
B0002,0,G0076,Burkina Faso_R2,0.13313477,0.0,0,Healthy,,,0
B0003,0,G0171,Guatemala_R1,0.03755045,0.0,0,Healthy,,,0
B0004,0,G0251,Zimbabwe_R1,0.06915012,0.0,0,Healthy,,,0
B0005,0,G0171,Vietnam_R0,0.047719423,0.0,0,Healthy,,,0
B0006,0,G0112,Georgia_R2,0.035582725,0.0,0,Healthy,,,0
B0007,0,G0182,Philippines_R0,0.10880833,0.0,0,Healthy,,,0
B0008,0,G0278,Cambodia_R2,0.040238477,0.0,0,Healthy,,,0
B0009,0,G0204,Kenya_R1,0.04619081,0.0,0,Healthy,,,0
B0010,0,G0139,Philippines_R1,0.052934974,0.0,0,Healthy,,,0
B0011,0,G0235,Kenya_R2,0.044552635,0.0,0,Healthy,,,0
B0012,0,G0162,Kosovo_R0,0.07450515,0.0,0,Healthy,,,0
B0013,0,G0324,Philippines_R0,0.057870194,0.0,0,Healthy,,,0
B0014,0,G0314,Azerbaijan_R0,0.0363519,0.0,0,Healthy,,,0
B0015,0,G0089,Honduras_R2,0.0431433,0.0,0,Healthy,,,0
B0016,0,G0267,Philippines_R2,0.05568598,0.0,1,Healthy,,,0
B0017,0,G0262,Bolivia_R0,0.055903457,0.0,0,Healthy,,,0
B0018,0,G0120,Liberia_R1,0.0646893,0.0,1,Healthy,,,0
B0019,0,G0256,Mozambique_R0,0.027285453,0.0,0,Healthy,,,0
B0020,0,G0325,Ecuador_R0,0.12622504,0.0,0,Healthy,,,0
B0021,0,G0330,Pakistan_R0,0.056626614,0.0,0,Healthy,,,0
B0022,0,G0240,Samoa_R3,0.044478275,0.0,0,Healthy,,,0
B0023,0,G0035,Vietnam_R2,0.03923117,0.0,0,Healthy,,,0
B0024,0,G0177,Kenya_R3,0.033090763,0.0,0,Healthy,,,0
B0025,0,G0168,Philippines_R3,0.061542325,0.0,1,Healthy,,,0
B0026,0,G0270,Philippines_R2,0.06817961,0.0,1,Healthy,,,0
B0027,0,G0181,Philippines_R2,0.050942916,0.0,1,Healthy,,,0
B0028,0,G0219,Philippines_R0,0.06294428,0.0,0,Healthy,,,0
B0029,0,G0005,Philippines_R0,0.043789428,0.0,0,Healthy,,,0
B0030,0,G0052,Philippines_R3,0.070360325,0.0,1,Healthy,,,0
B0031,0,G0122,Pakistan_R0,0.063948445,0.0,0,Healthy,,,0
B0032,0,G0044,Cambodia_R3,0.05336845,0.0,1,Healthy,,,0
B0033,0,G0197,Mexico_R2,0.045006994,0.0,0,Healthy,,,0
B0034,0,G0322,Kenya_R0,0.06897868,0.0,0,Healthy,,,0
B0035,0,G0257,Philippines_R3,0.080913566,0.0,1,Independent Regional Shock,8.600546319464206e-48,,1
B0036,0,G0230,Ghana_R0,0.07438136,0.0,0,Healthy,,,0
B0037,0,G0270,Cambodia_R1,0.049318112,0.0,0,Healthy,,,0
B0038,0,G0216,Kenya_R1,0.04538794,0.0,0,Healthy,,,0
B0039,0,G0172,Haiti_R0,0.059973426,0.0,0,Isolated Stress,,,1
B0040,0,G0311,Tajikistan_R2,0.039716285,0.0,0,Healthy,,,0
B0041,0,G0153,Kenya_R1,0.07166289,0.0,0,Healthy,,,0
B0042,0,G0189,Colombia_R3,0.061970115,0.0,0,Healthy,,,0
B0043,0,G0093,Philippines_R3,0.056057904,0.0,1,Healthy,,,0
B0044,0,G0055,Pakistan_R1,0.06237532,0.0,0,Healthy,,,0
B0045,0,G0050,Kenya_R0,0.0463168,0.0,0,Healthy,,,0
B0046,0,G0250,Uganda_R3,0.06784272,0.0,0,Healthy,,,0
B0047,0,G0183,Nigeria_R2,0.061545122,0.0,0,Healthy,,,0
B0048,0,G0125,Peru_R2,0.121410586,0.0,0,Healthy,,,0
B0049,0,G0033,Azerbaijan_R0,0.027979169,0.0,0,Healthy,,,0
B0050,0,G0254,El Salvador_R1,0.0713922,0.0,0,Healthy,,,0
B0051,0,G0070,Philippines_R0,0.29501647,0.0,0,Healthy,,,0
B0052,0,G0190,Kenya_R1,0.053795055,0.0,0,Healthy,,,0
