borrower_id,t,state,is_stressed,own_lagged_risk,neighbor_stress_fraction,regional_shock_index,ground_truth_reason,group_id,partner_id,region_id,loan_amount,term_months,repayment_interval,current_savings,individual_risk_score
B0000,0,0,0,0,0.0,0,,G0199,357.0,Mexico_R0,600.0,14.0,monthly,42.5,0.037004445
B0001,0,0,0,0,0.0,0,,G0291,97.0,Guatemala_R1,475.0,14.0,monthly,97.72,0.045128275
B0002,0,0,0,0,0.0,0,,G0076,398.0,Burkina Faso_R2,3775.0,6.0,irregular,265.32,0.13313477
B0003,0,0,0,0,0.0,0,,G0171,97.0,Guatemala_R1,475.0,8.0,monthly,137.8,0.03755045
B0004,0,0,0,0,0.0,0,,G0251,305.0,Zimbabwe_R1,500.0,8.0,irregular,60.06,0.06915012
B0005,0,0,0,0,0.0,0,,G0171,394.0,Vietnam_R0,475.0,26.0,monthly,100.7,0.047719423
B0006,0,0,0,0,0.0,0,,G0112,181.0,Georgia_R2,850.0,39.0,monthly,266.92,0.035582725
B0007,0,0,0,0,0.0,0,,G0182,145.0,Philippines_R0,400.0,7.0,irregular,98.11,0.10880833
B0008,0,0,0,0,0.0,0,,G0278,311.0,Cambodia_R2,200.0,8.0,monthly,41.98,0.040238477
B0009,0,0,0,0,0.0,0,,G0204,138.0,Kenya_R1,875.0,14.0,monthly,128.89,0.04619081
B0010,0,0,0,0,0.0,0,,G0139,125.0,Philippines_R1,125.0,9.0,irregular,18.74,0.052934974
B0011,0,0,0,0,0.0,0,,G0235,156.0,Kenya_R2,225.0,14.0,monthly,56.44,0.044552635
B0012,0,0,0,0,0.0,0,,G0162,240.0,Kosovo_R0,2275.0,20.0,monthly,792.25,0.07450515
B0013,0,0,0,0,0.0,0,,G0324,145.0,Philippines_R0,250.0,8.0,irregular,62.14,0.057870194
B0014,0,0,0,0,0.0,0,,G0314,207.0,Azerbaijan_R0,1275.0,20.0,monthly,277.1,0.0363519
B0015,0,0,0,0,0.0,0,,G0089,201.0,Honduras_R2,1325.0,15.0,monthly,356.68,0.0431433
B0016,0,0,0,0,0.0,1,,G0267,145.0,Philippines_R2,350.0,8.0,irregular,66.35,0.05568598
B0017,0,0,0,0,0.0,0,,G0262,110.0,Bolivia_R0,4800.0,10.0,monthly,326.6,0.055903457
B0018,0,0,0,0,0.0,1,,G0120,182.0,Liberia_R1,325.0,11.0,irregular,71.07,0.0646893
B0019,0,0,0,0,0.0,0,,G0256,23.0,Mozambique_R0,800.0,20.0,monthly,269.83,0.027285453
B0020,0,0,0,0,0.0,0,,G0325,137.0,Ecuador_R0,5525.0,7.0,irregular,566.81,0.12622504
B0021,0,0,0,0,0.0,0,,G0330,245.0,Pakistan_R0,300.0,14.0,monthly,77.1,0.056626614
B0022,0,0,0,0,0.0,0,,G0240,15.0,Samoa_R3,1000.0,14.0,irregular,110.28,0.044478275
B0023,0,0,0,0,0.0,0,,G0035,121.0,Vietnam_R2,2025.0,20.0,monthly,426.77,0.03923117
B0024,0,0,0,0,0.0,0,,G0177,138.0,Kenya_R3,500.0,8.0,monthly,39.5,0.033090763
B0025,0,0,0,0,0.0,1,,G0168,145.0,Philippines_R3,700.0,11.0,irregular,129.58,0.061542325
B0026,0,0,0,0,0.0,1,,G0270,136.0,Philippines_R2,125.0,8.0,monthly,34.61,0.06817961
B0027,0,0,0,0,0.0,1,,G0181,123.0,Philippines_R2,225.0,7.0,irregular,34.71,0.050942916
B0028,0,0,0,0,0.0,0,,G0219,145.0,Philippines_R0,225.0,8.0,irregular,56.13,0.06294428
B0029,0,0,0,0,0.0,0,,G0005,126.0,Philippines_R0,325.0,14.0,monthly,93.81,0.043789428
B0030,0,0,0,0,0.0,1,,G0052,145.0,Philippines_R3,175.0,8.0,irregular,57.43,0.070360325
B0031,0,0,0,0,0.0,0,,G0122,245.0,Pakistan_R0,400.0,14.0,monthly,48.16,0.063948445
B0032,0,0,0,0,0.0,1,,G0044,204.0,Cambodia_R3,650.0,14.0,monthly,110.37,0.05336845
B0033,0,0,0,0,0.0,0,,G0197,130.0,Mexico_R2,2525.0,7.0,monthly,241.71,0.045006994
B0034,0,0,0,0,0.0,0,,G0322,133.0,Kenya_R0,400.0,14.0,monthly,139.1,0.06897868
B0035,0,1,1,0,0.0,1,Independent Regional Shock,G0257,145.0,Philippines_R3,275.0,7.0,irregular,90.23,0.080913566
B0036,0,0,0,0,0.0,0,,G0230,231.0,Ghana_R0,675.0,7.0,irregular,143.09,0.07438136
B0037,0,0,0,0,0.0,0,,G0270,499.0,Cambodia_R1,300.0,14.0,monthly,90.78,0.049318112
B0038,0,0,0,0,0.0,0,,G0216,156.0,Kenya_R1,600.0,14.0,monthly,123.77,0.04538794
B0039,0,1,1,0,0.0,0,Isolated Stress,G0172,442.0,Haiti_R0,75.0,7.0,monthly,17.78,0.059973426
B0040,0,0,0,0,0.0,0,,G0311,100.0,Tajikistan_R2,1725.0,14.0,monthly,132.37,0.039716285
B0041,0,0,0,0,0.0,0,,G0153,138.0,Kenya_R1,400.0,14.0,monthly,110.63,0.07166289
B0042,0,0,0,0,0.0,0,,G0189,177.0,Colombia_R3,950.0,27.0,bullet,83.9,0.061970115
B0043,0,0,0,0,0.0,1,,G0093,144.0,Philippines_R3,1125.0,8.0,irregular,335.05,0.056057904
B0044,0,0,0,0,0.0,0,,G0055,247.0,Pakistan_R1,225.0,11.0,irregular,64.04,0.06237532
B0045,0,0,0,0,0.0,0,,G0050,133.0,Kenya_R0,75.0,8.0,monthly,19.7,0.0463168
B0046,0,0,0,0,0.0,0,,G0250,163.0,Uganda_R3,300.0,9.0,monthly,18.25,0.06784272
B0047,0,0,0,0,0.0,0,,G0183,288.0,Nigeria_R2,100.0,14.0,bullet,14.09,0.061545122
B0048,0,0,0,0,0.0,0,,G0125,119.0,Peru_R2,6300.0,6.0,irregular,812.28,0.121410586
B0049,0,0,0,0,0.0,0,,G0033,56.0,Azerbaijan_R0,2550.0,20.0,monthly,403.0,0.027979169
B0050,0,0,0,0,0.0,0,,G0254,199.0,El Salvador_R1,200.0,14.0,monthly,15.26,0.0713922
B0051,0,0,0,0,0.0,0,,G0070,145.0,Philippines_R0,125.0,8.0,irregular,41.39,0.29501647
B0052,0,0,0,0,0.0,0,,G0190,133.0,Kenya_R1,700.0,11.0,monthly,151.3,0.053795055
B0053,0,0,0,0,0.0,0,,G0277,63.0,Tajikistan_R1,425.0,14.0,monthly,60.2,0.050305225
B0054,0,0,0,0,0.0,0,,G0118,78.0,Mali_R1,250.0,8.0,monthly,42.27,0.03447176
B0055,0,0,0,0,0.0,0,,G0181,167.0,El Salvador_R0,500.0,11.0,bullet,92.08,0.043900043
B0056,0,0,0,0,0.0,0,,G0002,138.0,Kenya_R2,200.0,7.0,monthly,46.04,0.048792765
B0057,0,0,0,0,0.0,1,,G0213,126.0,Philippines_R3,675.0,8.0,irregular,138.18,0.0544048
B0058,0,0,0,0,0.0,0,,G0107,435.0,Peru_R3,625.0,14.0,monthly,203.64,0.031087067
B0059,0,0,0,0,0.0,0,,G0048,241.0,India_R0,475.0,43.0,bullet,94.57,0.027751066
B0060,0,0,0,0,0.0,1,,G0187,145.0,Philippines_R3,400.0,8.0,irregular,139.06,0.098043926
B0061,0,0,0,0,0.0,0,,G0229,164.0,Kenya_R3,600.0,13.0,irregular,183.26,0.03391049
B0062,0,1,1,0,0.0,1,Independent Regional Shock,G0202,145.0,Philippines_R2,325.0,10.0,irregular,36.58,0.062114634
B0063,0,0,0,0,0.0,0,,G0035,334.0,India_R3,250.0,43.0,bullet,82.29,0.031038051
B0064,0,0,0,0,0.0,0,,G0314,202.0,Kenya_R0,575.0,9.0,bullet,48.82,0.04467798
B0065,0,0,0,0,0.0,0,,G0001,177.0,Colombia_R2,1575.0,26.0,monthly,464.99,0.04752869
B0066,0,0,0,0,0.0,0,,G0177,154.0,Colombia_R2,675.0,21.0,monthly,110.83,0.065097764
B0067,0,0,0,0,0.0,0,,G0063,199.0,El Salvador_R2,650.0,14.0,monthly,203.7,0.031087067
B0068,0,0,0,0,0.0,0,,G0190,198.0,Turkey_R0,500.0,13.0,irregular,155.21,0.028637908
B0069,0,0,0,0,0.0,0,,G0013,161.0,Rwanda_R0,825.0,7.0,irregular,240.72,0.05416143
B0070,0,1,1,0,0.0,1,Independent Regional Shock,G0008,145.0,Philippines_R3,475.0,8.0,irregular,136.33,0.05184655
B0071,0,0,0,0,0.0,0,,G0070,176.0,Nicaragua_R2,1500.0,21.0,monthly,212.11,0.04709988
B0072,0,0,0,0,0.0,0,,G0095,126.0,Philippines_R1,200.0,7.0,monthly,14.86,0.041517198
B0073,0,0,0,0,0.0,0,,G0049,357.0,Mexico_R0,1375.0,26.0,monthly,234.98,0.048562948
B0074,0,0,0,0,0.0,0,,G0194,145.0,Philippines_R1,125.0,8.0,irregular,12.76,0.059630174
B0075,0,0,0,0,0.0,0,,G0227,63.0,Tajikistan_R0,300.0,14.0,monthly,77.55,0.056626614
B0076,0,0,0,0,0.0,0,,G0051,100.0,Tajikistan_R0,150.0,14.0,monthly,23.07,0.052590467
B0077,0,0,0,0,0.0,0,,G0181,145.0,Philippines_R1,450.0,10.0,irregular,154.21,0.029718762
B0078,0,0,0,0,0.0,0,,G0044,188.0,Ecuador_R3,500.0,14.0,monthly,121.15,0.041677147
B0079,0,0,0,0,0.0,0,,G0212,144.0,Philippines_R0,400.0,6.0,irregular,118.7,0.042051386
B0080,0,0,0,0,0.0,0,,G0191,171.0,Kyrgyzstan_R1,375.0,13.0,monthly,33.66,0.05649737
B0081,0,0,0,0,0.0,1,,G0111,145.0,Philippines_R2,200.0,14.0,irregular,61.72,0.08117175
B0082,0,0,0,0,0.0,0,,G0200,58.0,Paraguay_R1,1025.0,15.0,monthly,335.0,0.05142478
B0083,0,0,0,0,0.0,0,,G0125,164.0,Kenya_R0,200.0,14.0,irregular,39.22,0.15094244
B0084,0,0,0,0,0.0,0,,G0111,143.0,Peru_R3,475.0,14.0,monthly,110.14,0.050856292
B0085,0,0,0,0,0.0,0,,G0178,231.0,Ghana_R0,1075.0,9.0,irregular,300.4,0.039247584
B0086,0,0,0,0,0.0,0,,G0117,406.0,Indonesia_R0,525.0,59.0,irregular,53.79,0.040386554
B0087,0,0,0,0,0.0,0,,G0333,146.0,Armenia_R1,650.0,14.0,monthly,130.5,0.04538794
B0088,0,0,0,0,0.0,0,,G0153,199.0,El Salvador_R2,500.0,14.0,bullet,84.8,0.041120566
B0089,0,0,0,0,0.0,0,,G0234,163.0,Uganda_R3,800.0,10.0,monthly,75.13,0.042694964
B0090,0,0,0,0,0.0,0,,G0217,296.0,Togo_R3,200.0,8.0,irregular,32.05,0.046732508
B0091,0,0,0,0,0.0,0,,G0323,246.0,Guatemala_R3,675.0,14.0,monthly,47.55,0.032984298
B0092,0,0,0,0,0.0,0,,G0188,199.0,El Salvador_R1,300.0,12.0,monthly,17.32,0.10963154
B0093,0,0,0,0,0.0,0,,G0242,93.0,Peru_R3,1425.0,8.0,monthly,129.03,0.0324773
B0094,0,0,0,0,0.0,0,,G0197,181.0,Georgia_R3,2125.0,39.0,monthly,720.24,0.069778375
B0095,0,0,0,0,0.0,0,,G0303,81.0,El Salvador_R0,500.0,20.0,monthly,107.43,0.04234258
B0096,0,0,0,0,0.0,0,,G0146,386.0,Kenya_R2,600.0,14.0,irregular,203.85,0.03405156
B0097,0,0,0,0,0.0,0,,G0193,96.0,Nicaragua_R1,3550.0,10.0,monthly,638.11,0.041735955
B0098,0,0,0,0,0.0,0,,G0308,156.0,Kenya_R2,300.0,14.0,monthly,43.06,0.051880065
B0099,0,0,0,0,0.0,0,,G0004,126.0,Philippines_R1,250.0,8.0,irregular,50.46,0.063447915
B0100,0,0,0,0,0.0,1,,G0038,145.0,Philippines_R2,200.0,8.0,irregular,36.37,0.04729311
B0101,0,0,0,0,0.0,1,,G0093,246.0,Guatemala_R0,2900.0,14.0,monthly,236.93,0.030832548
B0102,0,0,0,0,0.0,1,,G0194,125.0,Philippines_R2,650.0,12.0,irregular,157.46,0.03391049
B0103,0,0,0,0,0.0,0,,G0276,144.0,Philippines_R0,350.0,5.0,irregular,40.18,0.027540829
B0104,0,0,0,0,0.0,0,,G0202,199.0,El Salvador_R0,1600.0,8.0,bullet,377.4,0.0404484
B0105,0,0,0,0,0.0,1,,G0136,126.0,Philippines_R3,100.0,7.0,monthly,24.51,0.068357885
B0106,0,0,0,0,0.0,0,,G0184,279.0,Nicaragua_R0,350.0,14.0,irregular,33.46,0.05474533
B0107,0,0,0,0,0.0,0,,G0094,462.0,Palestine_R2,1500.0,28.0,monthly,102.61,0.051856495
B0108,0,1,1,0,0.0,0,Isolated Stress,G0224,145.0,Philippines_R0,175.0,8.0,irregular,49.74,0.09313106
B0109,0,0,0,0,0.0,0,,G0027,199.0,El Salvador_R0,1500.0,32.0,monthly,281.91,0.048634857
B0110,0,1,1,0,0.0,1,Independent Regional Shock,G0189,9.0,Cambodia_R3,1250.0,8.0,irregular,84.31,0.10532875
B0111,0,0,0,0,0.0,0,,G0011,222.0,Uganda_R0,850.0,14.0,monthly,296.19,0.026247542
B0112,0,0,0,0,0.0,0,,G0291,177.0,Colombia_R0,700.0,21.0,bullet,47.13,0.038798593
B0113,0,0,0,0,0.0,0,,G0119,386.0,Kenya_R0,500.0,11.0,irregular,129.26,0.056589093
B0114,0,0,0,0,0.0,0,,G0233,388.0,Kenya_R2,675.0,14.0,monthly,232.94,0.030711921
B0115,0,0,0,0,0.0,0,,G0041,121.0,Vietnam_R0,900.0,14.0,monthly,109.58,0.054304447
B0116,0,0,0,0,0.0,0,,G0247,442.0,Haiti_R1,500.0,7.0,monthly,46.34,0.050509047
B0117,0,0,0,0,0.0,0,,G0196,145.0,Philippines_R1,450.0,8.0,irregular,38.89,0.059616018
B0118,0,0,0,0,0.0,0,,G0110,246.0,Guatemala_R2,675.0,14.0,monthly,95.16,0.0461768
B0119,0,0,0,0,0.0,0,,G0248,100.0,Tajikistan_R0,950.0,14.0,monthly,76.3,0.04663172
B0120,0,0,0,0,0.0,0,,G0025,177.0,Colombia_R3,350.0,13.0,bullet,90.18,0.038742714
