borrower_id,emb_0,emb_1,emb_2,emb_3,emb_4,emb_5,emb_6,emb_7,emb_8,emb_9,emb_10,emb_11,emb_12,emb_13,emb_14,emb_15,emb_16,emb_17,emb_18,emb_19,emb_20,emb_21,emb_22,emb_23,emb_24,emb_25,emb_26,emb_27,emb_28,emb_29,emb_30,emb_31,predicted_stress_prob,source_timestep
B0000,0.0,0.0,0.0,0.0,0.0,0.93090284,0.0,1.2387007,1.2638295,0.0,0.0,0.75150275,0.5080062,0.0,0.0,0.0,0.98807424,1.4598012,0.35567057,0.19342023,0.0,0.7157936,0.0,0.587973,0.0,0.1508387,1.192188,0.0,0.5813496,0.15401486,1.1313612,0.0,0.07745235,11
B0001,0.0,0.0,0.0,0.0,0.0,0.97924316,0.0,1.1736529,1.2157798,0.0,0.0,0.90630436,0.56454074,0.0,0.0,0.0,1.246297,1.4062926,0.37236297,0.1946572,0.0,0.7041315,0.0,0.7941848,0.0,0.34089464,1.2228276,0.0,0.6576534,0.15973185,1.2073178,0.0,0.065926194,11
B0002,0.0,0.0,0.0,0.0,0.0,1.0804807,0.0,1.398398,1.3872403,0.0,0.0,1.408412,0.8166756,0.0,0.0,0.0,1.898341,1.4633875,0.50477946,0.20251372,0.0,0.86273646,0.0,1.212348,0.0,0.8780662,1.717088,0.0,1.0279928,0.29244125,1.5898117,0.0,0.030618869,11
B0003,0.0,0.0,0.0,0.0,0.0,0.9012629,0.0,1.1642339,1.220556,0.0,0.0,0.813956,0.53764325,0.0,0.0,0.0,1.0809886,1.3899944,0.38356453,0.18029824,0.0,0.6947186,0.0,0.66955227,0.0,0.3052951,1.1814206,0.0,0.61755395,0.19365224,1.1578982,0.0,0.07506461,11
B0004,0.0,0.0,0.0,0.0,0.0,1.1946528,0.0,1.2732008,1.2603128,0.0,0.0,1.1348181,0.5914577,0.0,0.0,0.0,1.5213963,1.4250736,0.41241112,0.24616328,0.0,0.7431197,0.0,0.9813347,0.0,0.5119668,1.451434,0.0,0.91039217,0.12456754,1.3417106,0.0,0.0463889,11
B0005,0.0,0.0,0.0,0.0,0.0,1.0802453,0.0,1.3610096,1.2657893,0.0,0.0,1.3299208,0.7640601,0.0,0.0,0.0,1.8057287,1.3761414,0.5128429,0.21546645,0.0,0.84301805,0.0,1.1955237,0.0,0.7583711,1.6612854,0.0,0.9990945,0.2694656,1.4644369,0.0,0.035294767,11
B0006,0.0,0.0,0.0,0.0,0.0,1.1803164,0.0,1.3855878,1.31723,0.0,0.0,1.4583983,0.7282661,0.0,0.0,0.0,1.8728417,1.7678833,0.48816428,0.23795603,0.0,0.834901,0.0,1.2457335,0.0,0.74033064,1.6509122,0.0,1.0268921,0.21350917,1.4579704,0.0,0.029882906,11
B0007,0.0,0.0,0.0,0.0,0.0,1.101223,0.0,1.3989393,1.3293471,0.0,0.0,1.3641993,0.7979293,0.0,0.0,0.0,1.8532388,1.4237033,0.50027037,0.21351951,0.0,0.8580153,0.0,1.2006311,0.0,0.8258045,1.6852224,0.0,1.068488,0.27196157,1.5204453,0.0,0.03235184,11
B0008,0.0,0.0,0.0,0.0,0.0,0.8426516,0.0,0.1904077,1.076371,0.0,0.0,0.6964383,0.16368207,0.0,0.0,0.0,0.6200501,1.5815291,0.0,0.20616238,0.0,0.35048574,0.0,0.32145378,0.0,0.0,0.8615233,0.0,0.24431366,0.0,0.9003597,0.0,0.14648937,11
B0009,0.0,0.0,0.0,0.0,0.0,1.2558336,0.0,1.334457,1.356955,0.0,0.0,1.1955539,0.61209685,0.0,0.0,0.0,1.512634,1.5164406,0.3816631,0.24194795,0.0,0.7253187,0.0,0.9524138,0.0,0.5717583,1.4260914,0.0,0.9256237,0.12249139,1.3870776,0.0,0.04318053,11
