loan_id,loan_amount,sector,country,region,term_months,repayment_interval,partner_id,borrower_id,region_id,group_id,current_savings,baseline_hazard
952578,600.0,Health,Mexico,,14.0,monthly,357.0,B0000,Mexico_R0,G0199,42.5,0.04137142857142857
831874,475.0,Food,Guatemala,"San Martin Jilotepeque, Chimaltenango",14.0,monthly,97.0,B0001,Guatemala_R1,G0291,97.72,0.04108571428571429
1293258,3775.0,Retail,Burkina Faso,Ouagadougou Kilwin,6.0,irregular,398.0,B0002,Burkina Faso_R2,G0076,265.32,0.06013333333333333
1259338,475.0,Retail,Guatemala,"Ciudad Vieja,Sacatepequez",8.0,monthly,97.0,B0003,Guatemala_R1,G0171,137.8,0.0419
743144,500.0,Food,Zimbabwe,Chiredzi,8.0,irregular,305.0,B0004,Zimbabwe_R1,G0251,60.06,0.041999999999999996
1247423,475.0,Housing,Vietnam,"Le Thuy, Quang Binh",26.0,monthly,394.0,B0005,Vietnam_R0,G0171,100.7,0.040584615384615386
1210989,850.0,Education,Georgia,Tbilisi,39.0,monthly,181.0,B0006,Georgia_R2,G0112,266.92,0.040697435897435894
759940,400.0,Retail,Philippines,"Narra, Palawan",7.0,irregular,145.0,B0007,Philippines_R0,G0182,98.11,0.04182857142857143
969382,200.0,Personal Use,Cambodia,Kandal,8.0,monthly,311.0,B0008,Cambodia_R2,G0278,41.98,0.0408
1273932,875.0,Retail,Kenya,Taveta,14.0,monthly,138.0,B0009,Kenya_R1,G0204,128.89,0.041999999999999996
1108624,125.0,Retail,Philippines,"Sierra Bullones, Bohol",9.0,irregular,125.0,B0010,Philippines_R1,G0139,18.74,0.04044444444444445
834531,225.0,Agriculture,Kenya,Chuka,14.0,monthly,156.0,B0011,Kenya_R2,G0235,56.44,0.04051428571428571
960538,2275.0,Food,Kosovo,,20.0,monthly,240.0,B0012,Kosovo_R0,G0162,792.25,0.04364
1321022,250.0,Arts,Philippines,"Minglanilla, Cebu",8.0,irregular,145.0,B0013,Philippines_R0,G0324,62.14,0.041
734673,1275.0,Agriculture,Azerbaijan,,20.0,monthly,207.0,B0014,Azerbaijan_R0,G0314,277.1,0.04204
665569,1325.0,Food,Honduras,Santa Barbara,15.0,monthly,201.0,B0015,Honduras_R2,G0089,356.68,0.042826666666666666
1122102,350.0,Retail,Philippines,"Liloan, Cebu",8.0,irregular,145.0,B0016,Philippines_R2,G0267,66.35,0.041400000000000006
819180,4800.0,Arts,Bolivia,La Paz,10.0,monthly,110.0,B0017,Bolivia_R0,G0262,326.6,0.055360000000000006
