borrower_id,group_id,partner_id,region_id,loan_amount,term_months,repayment_interval,current_savings,is_stressed,stress_reason
B0058,G0107,435.0,Peru_R3,625.0,14.0,monthly,203.64,1,Contagion-Driven Stress
B0067,G0063,199.0,El Salvador_R2,650.0,14.0,monthly,203.7,1,Isolated Stress
B0090,G0217,296.0,Togo_R3,200.0,8.0,irregular,32.05,1,Contagion-Driven Stress
B0096,G0146,386.0,Kenya_R2,600.0,14.0,irregular,203.85,1,Contagion-Driven Stress
B0156,G0146,126.0,Philippines_R0,350.0,3.0,irregular,65.21,1,Isolated Stress
B0184,G0078,199.0,El Salvador_R0,550.0,15.0,bullet,38.5,1,Independent Regional Shock
B0187,G0315,78.0,Mali_R2,225.0,5.0,monthly,61.03,1,Contagion-Driven Stress
B0192,G0074,185.0,Jordan_R2,1425.0,21.0,monthly,377.48,1,Isolated Stress
B0208,G0107,443.0,Madagascar_R3,600.0,9.0,irregular,77.71,1,Isolated Stress
B0216,G0315,78.0,Mali_R0,325.0,8.0,irregular,36.3,1,Independent Regional Shock
B0251,G0007,136.0,Philippines_R1,550.0,14.0,monthly,69.12,1,Isolated Stress
B0296,G0134,246.0,Guatemala_R0,1050.0,14.0,monthly,227.08,1,Isolated Stress
B0310,G0082,23.0,Mozambique_R1,225.0,20.0,monthly,41.53,1,Contagion-Driven Stress
B0381,G0082,177.0,Colombia_R2,525.0,14.0,bullet,38.94,1,Contagion-Driven Stress
B0419,G0146,77.0,Lebanon_R0,2000.0,15.0,monthly,131.35,1,Isolated Stress
B0425,G0082,199.0,El Salvador_R0,1000.0,20.0,monthly,246.25,1,Independent Regional Shock
B0439,G0078,145.0,Philippines_R1,375.0,8.0,irregular,31.66,1,Isolated Stress
B0448,G0198,136.0,Philippines_R0,225.0,26.0,bullet,22.44,1,Contagion-Driven Stress
B0567,G0092,162.0,Burundi_R1,3425.0,14.0,monthly,242.81,1,Contagion-Driven Stress
B0575,G0100,188.0,Ecuador_R3,800.0,14.0,monthly,163.04,1,Isolated Stress
B0613,G0066,9.0,Cambodia_R0,400.0,26.0,monthly,53.78,1,Contagion-Driven Stress
B0679,G0029,78.0,Mali_R3,825.0,5.0,monthly,52.55,1,Isolated Stress
